Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1634788506.0173965,0,0,0,0
1634788511.6516356,0,0,0,0
1634788517.454194,0,0,0,31.0
1634788523.19434,0,0,0,41.0
1634788528.9577446,0,0,0,34.0
1634788534.7458858,0,0,0,32.4
1634788540.551547,0,0,0,33.4
1634788546.4358726,0,0,0,35.2
1634788552.2312853,0,0,0,34.2
1634788558.0685775,0,0,0,37.6
1634788563.9155474,0,0,0,38.4
1634788569.8550043,0,0,0,29.0
1634788575.7674212,0,0,0,31.6
1634788581.6610785,0,0,0,33.4
1634788587.5829093,0,0,0,26.2
1634788593.5302315,0,0,0,30.4
1634788599.588334,0,0,0,33.2
1634788605.5858834,0,0,0,34.6
1634788611.5762503,0,0,0,32.0
1634788617.5263565,0,0,0,29.2
1634788623.5535986,0,0,0,29.8
1634788629.6068668,0,0,0,28.6
1634788635.6021008,0,0,0,26.4
1634788641.7750423,0,0,0,31.6
1634788647.8942356,0,0,0,32.8
1634788654.050755,0,0,0,30.6
1634788660.2210724,0,0,0,29.0
1634788666.408728,0,0,0,29.4
1634788672.5791469,0,0,0,28.0
1634788678.79341,0,0,0,30.8
1634788685.0655377,0,0,0,35.4
1634788691.3638833,0,0,0,31.4
1634788697.5694199,0,0,0,36.6
1634788703.9266744,0,0,0,32.6
1634788710.258109,0,0,0,35.8
1634788716.5509696,0,0,0,33.8
1634788723.0454683,0,0,0,39.2
1634788729.303735,0,0,0,38.6
1634788735.7536173,0,0,0,28.6
1634788742.195955,0,0,0,32.8
1634788748.5157318,0,0,0,26.8
1634788754.9616244,0,0,0,33.8
1634788761.4162664,0,0,0,31.6
1634788767.8224518,0,0,0,30.4
1634788774.2683547,0,0,0,38.0
1634788780.7525883,0,0,0,30.0
1634788787.2644157,0,0,0,26.6
1634788793.7929592,0,0,0,32.4
1634788800.3367825,0,0,0,32.6
1634788806.8453038,0,0,0,25.0
1634788813.4122515,0,0,0,27.4
1634788820.0464735,0,0,0,31.2
1634788826.723766,0,0,0,33.2
1634788833.3352587,0,0,0,26.4
1634788840.020662,0,0,0,27.8
1634788846.642109,0,0,0,30.6
1634788853.3024263,0,0,0,32.0
1634788860.013214,0,0,0,34.4
1634788866.6747775,0,0,0,37.0
1634788873.4153566,0,0,0,36.6
1634788880.2424521,0,0,0,32.0
1634788887.0577736,0,0,0,42.0
1634788893.8307261,0,0,0,40.0
1634788900.6767852,0,0,0,31.2
1634788907.494207,0,0,0,36.8
1634788914.4384336,0,0,0,32.8
1634788921.4122088,0,0,0,35.8
1634788928.2533815,0,0,0,31.6
1634788935.1205945,0,0,0,34.2
1634788942.040909,0,0,0,29.4
1634788948.9527578,0,0,0,30.6
1634788955.9304457,0,0,0,30.2
1634788962.8938572,0,0,0,36.2
1634788969.9478116,0,0,0,32.4
1634788976.8846228,0,0,0,35.2
1634788983.894155,0,0,0,30.6
1634788990.9682734,0,0,0,31.6
1634788997.9871125,0,0,0,36.2
1634789005.083441,0,0,0,27.4
1634789012.1704047,0,0,0,31.8
1634789019.231573,0,0,0,31.8
1634789026.4023058,0,0,0,32.2
1634789033.4849968,0,0,0,32.0
1634789040.7446225,0,0,0,34.8
1634789047.9773917,0,0,0,35.8
1634789055.317718,0,0,0,39.0
1634789062.5912066,0,0,0,38.2
1634789069.7390516,0,0,0,36.8
1634789077.02205,0,0,0,39.6
1634789084.2670474,0,0,0,32.6
1634789091.522073,0,0,0,34.2
1634789098.748926,0,0,0,31.2
1634789106.098776,0,0,0,32.8
1634789113.4184475,0,0,0,32.8
1634789120.7798467,0,0,0,32.0
1634789128.1699233,0,0,0,29.0
1634789135.49686,0,0,0,35.2
1634789143.048089,0,0,0,38.6
1634789150.435383,0,0,0,38.2
1634789157.858917,0,0,0,34.6
1634789165.2863064,0,0,0,39.8
1634789173.0211694,0,0,0,42.2
1634789180.480151,0,0,0,46.4
1634789188.047907,0,0,0,30.8
1634789195.548202,0,0,0,38.8
1634789203.1935298,0,0,0,38.8
1634789210.7426445,0,0,0,41.2
1634789218.3105235,0,0,0,37.2
1634789225.9431627,0,0,0,32.6
1634789233.5778344,0,0,0,36.2
1634789241.2836425,0,0,0,33.8
1634789248.879025,0,0,0,32.4
1634789256.5584695,0,0,0,26.8
1634789264.2383444,0,0,0,31.6
1634789272.3132014,0,0,0,43.8
1634789280.0793993,0,0,0,47.4
1634789287.878539,0,0,0,37.0
1634789295.589264,0,0,0,45.6
1634789303.3022602,0,0,0,38.4
1634789311.181984,0,0,0,39.8
1634789318.9357982,0,0,0,43.8
1634789326.8031101,0,0,0,39.8
1634789334.5507288,0,0,0,35.6
1634789342.4439847,0,0,0,37.0
1634789350.3226871,0,0,0,37.8
1634789358.2148015,0,0,0,34.4
1634789366.4247668,0,0,0,36.0
1634789374.3175178,0,0,0,31.0
1634789382.3816133,0,0,0,43.6
1634789390.331509,0,0,0,41.6
1634789398.30124,0,0,0,39.0
1634789406.4008653,0,0,0,41.6
1634789414.378736,0,0,0,39.4
1634789422.4353027,0,0,0,29.6
1634789430.4693956,0,0,0,38.2
1634789438.4598148,0,0,0,34.2
1634789446.563013,0,0,0,35.4
1634789454.8980017,0,0,0,37.0
1634789463.1567287,0,0,0,38.2
1634789471.3381252,0,0,0,39.8
1634789479.3547788,0,0,0,39.2
1634789487.5394375,0,0,0,35.6
1634789495.698781,0,0,0,34.8
1634789503.937279,0,0,0,34.2
1634789512.246855,0,0,0,42.2
1634789520.4528399,0,0,0,42.0
1634789528.6886232,0,0,0,36.0
1634789537.322792,0,0,0,38.0
1634789545.6467943,0,0,0,38.4
1634789554.0379336,0,0,0,42.2
1634789562.448135,0,0,0,46.2
1634789570.7581224,0,0,0,44.0
1634789579.0938725,0,0,0,40.8
1634789587.5204196,0,0,0,36.6
1634789595.9081106,0,0,0,48.8
1634789604.3321755,0,0,0,45.6
1634789612.9582071,0,0,0,38.4
1634789621.7433767,0,0,0,36.4
1634789630.260535,0,0,0,35.8
1634789638.74256,0,0,0,34.6
1634789647.3332012,0,0,0,31.6
1634789655.863202,0,0,0,29.6
1634789664.37912,0,0,0,35.2
1634789673.068414,0,0,0,32.8
1634789681.6272366,0,0,0,34.0
1634789690.160396,0,0,0,29.8
1634789699.1641316,0,0,0,33.2
1634789707.961692,0,0,0,33.0
1634789716.6456602,0,0,0,31.2
1634789725.3748815,0,0,0,31.2
1634789734.1681347,0,0,0,27.6
1634789742.9431474,0,0,0,33.8
1634789751.6442292,0,0,0,33.2
1634789760.2710605,0,0,0,36.4
1634789769.061416,0,0,0,38.2
1634789778.153034,0,0,0,29.4
1634789786.992617,0,0,0,32.4
1634789795.8086092,0,0,0,29.2
1634789804.7090948,0,0,0,34.8
1634789813.64464,0,0,0,32.4
1634789822.6524768,0,0,0,36.0
1634789831.5717177,0,0,0,33.6
1634789840.3305168,0,0,0,37.4
1634789849.5253582,0,0,0,32.0
1634789858.468604,0,0,0,27.6
1634789867.46429,0,0,0,34.4
1634789876.486288,0,0,0,30.8
1634789885.332014,0,0,0,30.4
1634789894.3212876,0,0,0,29.0
1634789903.3658524,0,0,0,34.0
1634789912.4681287,0,0,0,40.8
1634789921.9270337,0,0,0,36.4
1634789931.050957,0,0,0,38.2
1634789940.1487668,0,0,0,36.8
1634789949.3626032,0,0,0,33.4
1634789958.5380328,0,0,0,40.4
1634789967.6490684,0,0,0,33.2
1634789976.8248909,0,0,0,31.4
1634789986.513909,0,0,0,31.6
1634789995.9047315,0,0,0,23.4
1634790005.255179,0,0,0,24.2
1634790014.6001484,0,0,0,31.8
1634790023.9265807,0,0,0,32.0
1634790033.2735913,0,0,0,32.0
1634790042.6111107,0,0,0,31.4
1634790051.9741702,0,0,0,33.8
1634790061.652441,0,0,0,36.0
1634790071.0397036,0,0,0,34.2
1634790080.351673,0,0,0,34.2
1634790089.8096569,0,0,0,30.8
1634790099.2776165,0,0,0,32.0
1634790108.7194378,0,0,0,31.6
1634790118.150046,0,0,0,31.8
1634790128.062554,0,0,0,33.4
1634790137.529272,0,0,0,35.6
1634790147.1561477,0,0,0,32.6
1634790156.6797273,0,0,0,43.8
1634790166.1089895,0,0,0,41.4
1634790175.638007,0,0,0,38.2
1634790185.2028422,0,0,0,40.0
1634790195.15493,0,0,0,35.0
1634790204.7468112,0,0,0,40.6
1634790214.4404254,0,0,0,33.4
1634790224.1911373,0,0,0,26.4
1634790233.9050243,0,0,0,33.0
1634790243.594609,0,0,0,25.8
1634790253.576343,0,0,0,26.0
1634790263.4319198,0,0,0,26.4
1634790273.2601314,0,0,0,23.2
1634790283.046856,0,0,0,21.2
1634790292.8769302,0,0,0,35.2
1634790302.6701536,0,0,0,28.6
1634790312.5655541,0,0,0,32.2
1634790322.7490194,0,0,0,34.8
1634790332.6686275,0,0,0,32.0
1634790342.5010016,0,0,0,34.0
